,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),change,pred
200231,2002-08-02,957.55,957.55,935.55,954.75,42399615,1008.81,-1.9638648860958365,1.6240885257720947
200232,2002-08-09,953.8,963.85,948.0,961.95,53339216,1270.86,0.7484796507095011,2.9435722827911377
200233,2002-08-16,970.75,981.2,968.35,979.25,33890407,876.07,1.766658156752612,2.749861240386963
200234,2002-08-23,985.75,996.4,984.7,995.2,39913412,1375.13,1.6026929260450207,2.7226734161376953
200235,2002-08-30,987.65,1012.75,986.7,1010.6,70534773,1721.88,1.5238472194735777,-0.5436689853668213
200236,2002-09-06,1008.45,1008.45,992.7,995.2,45009048,1328.48,-1.5474276527331166,0.3468564748764038
200237,2002-09-13,1001.4,1001.4,989.85,992.0,31250206,871.92,-0.3225806451612949,-1.8135759830474854
200238,2002-09-20,975.6,975.6,960.7,969.6,46970014,1149.06,-2.310231023102308,1.7929155826568604
200239,2002-09-27,969.95,978.0,969.25,976.45,48529490,1282.19,0.7015208151979131,-2.641244888305664
200240,2002-10-04,948.1,951.8,944.5,948.2,44508105,1109.34,-2.9793292554313435,3.161416530609131
200241,2002-10-11,958.45,973.5,958.45,971.05,50971734,1536.74,2.353122908192154,1.9124902486801147
200242,2002-10-18,973.8,982.5,968.8,971.65,52619622,1678.75,0.061750630371020715,-3.2798335552215576
200243,2002-10-25,946.8,946.8,929.25,932.2,50212164,1487.21,-4.2319244797253734,2.2880420684814453
200244,2002-11-01,951.45,956.95,946.4,951.45,81886663,2104.43,2.0232277050817173,1.3611923456192017
200245,2002-11-08,960.5,960.95,954.35,956.95,47446182,1349.49,0.5747426720309315,3.9127748012542725
200246,2002-11-15,972.3,992.05,972.3,990.35,71314009,2276.78,3.372545059827331,3.678309917449951
200247,2002-11-22,1009.5,1026.0,1009.5,1020.15,82797325,2956.91,2.921139048179185,4.101171016693115
200248,2002-11-29,1049.55,1057.45,1040.95,1050.15,62330269,1799.4,2.8567347521782707,2.197458028793335
200249,2002-12-06,1047.55,1072.25,1047.55,1069.8,86984722,2327.46,1.836791923724048,2.9892454147338867
200250,2002-12-13,1074.45,1087.35,1074.45,1086.2,59302311,2135.39,1.5098508561959207,0.5787506103515625
200251,2002-12-20,1075.45,1084.95,1075.4,1079.3,48150321,1658.56,-0.6393032521078561,1.9232293367385864
200252,2002-12-27,1095.65,1103.95,1095.6,1098.4,61404780,1956.21,1.7388929351784537,42.83173751831055
200301,2003-12-31,1868.9,1895.65,1852.5,1879.75,114764846,3497.25,41.56669769916211,-75.21852111816406
200302,2003-01-10,1097.6,1103.25,1077.4,1080.25,54047778,2317.79,-74.01064568386947,1.6488220691680908
200303,2003-01-17,1089.3,1090.25,1083.2,1086.5,47498203,1707.84,0.5752416014726185,-2.072617769241333
200304,2003-01-24,1070.6,1075.2,1053.4,1056.05,61550716,1886.71,-2.8833862033047724,-0.5557180643081665
200305,2003-01-31,1034.75,1044.25,1026.2,1041.85,76707456,2019.35,-1.3629601190190572,2.3692219257354736
200306,2003-02-07,1063.75,1065.8,1055.5,1057.5,55925333,1605.44,1.4799054373522544,-1.3414034843444824
200307,2003-02-14,1044.45,1047.05,1034.1,1036.0,43897560,1409.38,-2.0752895752895753,3.129183769226074
200308,2003-02-21,1065.6,1069.2,1061.1,1066.15,49463111,1611.82,2.827932279697987,0.8394942879676819
200309,2003-02-28,1053.65,1068.65,1053.65,1063.4,82249558,2536.28,-0.25860447620838817,-3.1587860584259033
200310,2003-03-07,1031.05,1031.05,1014.3,1017.1,45653477,1326.94,-4.552158096549019,-0.4502883553504944
200311,2003-03-13,1001.5,1006.4,994.2,999.65,47582037,1421.85,-1.7456109638373476,4.396219730377197
200312,2003-03-22,1030.6,1039.8,1030.6,1037.15,19834836,632.99,3.615677577978124,-2.4755210876464844
200313,2003-03-28,1002.8,1006.3,996.75,1000.6,41726885,1157.82,-3.6528083150110002,2.3574700355529785
200314,2003-04-04,1009.15,1018.25,1002.75,1016.95,55418219,1684.67,1.607748660209452,-6.300930023193359
200315,2003-04-11,958.9,965.15,935.7,949.8,83519810,2785.81,-7.069909454622036,-0.19318094849586487
200316,2003-04-17,958.65,958.65,936.7,940.7,47281254,1484.81,-0.9673647283937397,-0.37338969111442566
200317,2003-04-25,929.45,931.35,921.1,924.3,65197821,1481.77,-1.7743156983663413,2.6007485389709473
200318,2003-05-02,930.9,940.2,930.8,938.3,62768613,1338.68,1.4920601087072365,0.49750471115112305
200319,2003-05-09,941.6,941.65,935.8,937.85,51202220,1435.68,-0.04798208668762934,4.554778575897217
200320,2003-05-16,959.85,974.4,959.85,973.1,53821532,1404.54,3.6224437365121775,0.9551665782928467
200321,2003-05-23,963.5,972.9,962.4,967.9,64215772,1724.6,-0.5372455832214119,4.586850643157959
200322,2003-05-30,1000.05,1013.85,994.65,1006.8,73782145,1679.9,3.8637266587206973,4.407244682312012
200323,2003-06-06,1036.2,1048.85,1035.95,1046.4,74620221,1827.05,3.7844036697247834,1.3248348236083984
200324,2003-06-13,1050.95,1059.45,1050.95,1056.2,61693409,1561.21,0.927854572997534,4.62502908706665
200325,2003-06-20,1092.65,1101.6,1081.35,1100.25,70937531,1928.95,4.003635537377865,3.490960121154785
200326,2003-06-27,1117.45,1126.8,1109.35,1125.55,87543575,2224.73,2.2477899693483145,1.4867538213729858
200327,2003-07-04,1145.6,1148.85,1134.0,1138.45,57673799,1564.6,1.1331195924283095,2.50825572013855
200328,2003-07-11,1162.3,1170.75,1157.45,1161.65,73790385,2146.28,1.9971592131881413,-1.1384987831115723
200329,2003-07-18,1151.85,1162.6,1130.45,1140.0,77573758,2043.3,-1.8991228070175519,3.0017874240875244
200330,2003-07-25,1135.5,1164.7,1135.05,1162.75,85402139,2314.5,1.9565684798967964,4.144385814666748
200331,2003-08-01,1185.8,1198.8,1180.3,1195.75,86333839,2451.81,2.7597742002927035,3.178276777267456
200332,2003-08-08,1199.7,1224.5,1199.7,1222.65,130088954,2666.67,2.2001390422443126,3.0069808959960938
200333,2003-08-14,1247.0,1260.35,1243.4,1247.75,150830207,2339.2,2.011620917651766,5.823263645172119
200334,2003-08-22,1301.5,1319.45,1298.8,1311.15,174012616,2969.23,4.835449795980634,4.06262731552124
200335,2003-08-29,1341.2,1365.8,1340.8,1356.55,187820071,3538.66,3.3467251483542713,3.631495714187622
200336,2003-09-05,1373.0,1400.9,1372.75,1398.4,139876884,3405.35,2.9927059496567603,-1.3874542713165283
200337,2003-09-12,1405.55,1415.65,1367.15,1372.1,141936153,3001.56,-1.9167699147292605,-2.963235378265381
200338,2003-09-19,1303.2,1331.05,1285.25,1322.15,152262512,3329.8,-3.777937450364922,5.669300556182861
200339,2003-09-26,1357.55,1389.3,1357.35,1386.95,142165715,2936.25,4.672122282706655,5.244126796722412
200340,2003-10-03,1420.85,1451.2,1420.85,1449.3,140535297,3245.39,4.302076864693294,5.804719924926758
200341,2003-10-10,1507.1,1527.25,1505.1,1523.1,152851144,3878.61,4.845381130588928,4.667500972747803
200342,2003-10-17,1565.2,1574.1,1552.15,1569.45,200565508,4341.95,2.9532638822517527,-1.9421838521957397
200343,2003-10-25,1506.05,1533.05,1506.05,1521.95,43192470,931.76,-3.1209960905417393,3.7872531414031982
200344,2003-10-31,1517.1,1559.75,1515.55,1555.9,154475544,3908.81,2.1820168391284813,3.6081929206848145
200345,2003-11-07,1612.1,1624.5,1585.35,1592.05,138361140,3112.46,2.27065732860148,-0.7023081183433533
200346,2003-11-15,1549.65,1571.3,1542.0,1562.8,37842102,872.81,-1.871640644996161,-0.1366405338048935
200347,2003-11-21,1520.4,1547.0,1509.15,1540.7,112861081,3122.51,-1.4344129291880254,6.088730335235596
200348,2003-11-28,1598.55,1618.95,1598.55,1615.25,99391295,2862.56,4.615384615384612,2.8052244186401367
200349,2003-12-05,1675.5,1688.25,1642.05,1645.8,100930848,2994.09,1.8562401263823038,4.508596897125244
200350,2003-12-12,1695.8,1705.95,1686.45,1698.9,95310528,2800.09,3.125551827653195,5.958688259124756
200351,2003-12-19,1757.0,1783.7,1755.4,1778.55,140662197,3602.88,4.478367209243477,5.097403526306152
200352,2003-12-26,1804.7,1840.35,1804.7,1837.05,114224183,2610.62,3.1844533355107374,6.583608627319336
200401,2004-01-02,1912.25,1951.7,1911.05,1946.05,117079420,3407.72,5.601089386192544,2.373478889465332
200402,2004-01-09,1969.0,2014.65,1957.45,1971.9,153058574,5219.22,1.3109184035701675,-2.7987966537475586
200403,2004-01-16,1944.15,1953.05,1887.1,1900.65,122454732,4310.0,-3.7487175439981058,-1.2665364742279053
200404,2004-01-23,1771.1,1858.5,1771.1,1847.55,130354915,4345.51,-2.874076479662263,-0.9373125433921814
200405,2004-01-30,1843.7,1860.4,1804.3,1809.75,137217319,4236.83,-2.0886862826357206,2.789844512939453
200406,2004-02-06,1804.35,1837.95,1797.95,1833.65,119124927,4133.44,1.3034112289695465,6.028018474578857
200407,2004-02-13,1875.6,1916.2,1873.25,1913.6,123505334,3636.58,4.177989130434773,-2.4922313690185547
200408,2004-02-20,1858.25,1872.85,1831.15,1852.65,130222046,4679.07,-3.2898820608317716,-2.098085403442383
200409,2004-02-27,1765.9,1807.45,1763.95,1800.3,128743251,4214.13,-2.9078486918846935,4.6918206214904785
200410,2004-03-05,1843.9,1871.1,1843.9,1867.7,116411628,3809.32,3.6087166033088875,-2.54264235496521
200411,2004-03-12,1805.2,1820.95,1775.9,1812.2,126013646,4251.6,-3.0625758746275245,-4.106474876403809
200412,2004-03-19,1716.3,1738.6,1703.55,1725.1,98828472,3430.89,-5.048982667671448,2.4018194675445557
200413,2004-03-26,1704.45,1755.45,1703.8,1747.5,107611073,3338.39,1.2818311874105917,6.913876533508301
200414,2004-04-02,1856.1,1856.3,1809.0,1841.1,118736971,3739.26,5.08391722339905,1.6763849258422852
200415,2004-04-08,1854.0,1864.95,1839.7,1853.55,93980684,3395.25,0.6716840657117448,1.5614874362945557
200416,2004-04-17,1869.2,1875.95,1864.95,1868.1,23013538,765.8,0.7788662277179998,2.6301095485687256
200417,2004-04-23,1890.85,1912.35,1885.75,1892.45,127538156,4161.45,1.2866918544743657,-4.411885738372803
200418,2004-04-30,1820.55,1841.45,1788.3,1796.1,105820820,3326.59,-5.364400645843781,1.4101219177246094
200419,2004-05-07,1832.85,1833.15,1796.95,1804.45,84070586,2908.05,0.4627448807115817,-13.285931587219238
200420,2004-05-14,1717.05,1722.8,1566.95,1582.4,177163472,5387.79,-14.032482305358945,-0.43113693594932556
200421,2004-05-21,1545.05,1566.15,1498.1,1560.2,113119146,3323.52,-1.4228945007050406,-2.3019676208496094
200422,2004-05-28,1586.35,1587.1,1504.0,1508.75,134295973,3981.89,-3.4101077050538557,2.3866615295410156
200423,2004-06-04,1494.85,1527.0,1480.8,1521.1,106871617,3176.73,0.8119124317927756,0.7313599586486816
200424,2004-06-11,1544.95,1547.4,1504.8,1508.45,85740531,2765.35,-0.8386091683516101,0.10313621163368225
200425,2004-06-18,1511.95,1515.05,1485.05,1491.2,89863436,3018.17,-1.1567864806866952,1.1111760139465332
200426,2004-06-25,1471.5,1494.0,1459.55,1488.5,148717352,3377.37,-0.18139066174000978,4.472818374633789
200427,2004-07-02,1537.05,1547.65,1516.15,1537.5,127491075,3427.55,3.186991869918699,2.0249922275543213
200428,2004-07-09,1517.45,1557.75,1472.55,1553.2,104348113,2723.9,1.0108163790883367,1.479007363319397
200429,2004-07-16,1538.15,1562.0,1533.65,1558.8,138318933,3143.87,0.3592507056710232,3.6957178115844727
200430,2004-07-23,1587.6,1610.85,1587.6,1601.6,152832431,3261.47,2.6723276723276697,2.4748969078063965
200431,2004-07-30,1618.9,1638.7,1609.9,1632.3,150998622,3518.68,1.8807817190467466,1.6840910911560059
200432,2004-08-06,1654.85,1658.7,1626.7,1633.4,141536623,3540.65,0.06734419003306823,-0.9402238130569458
200433,2004-08-13,1598.2,1612.7,1591.6,1598.2,110483689,3019.8,-2.2024777875109525,0.8384093642234802
200434,2004-08-20,1609.2,1610.6,1584.05,1590.35,108919261,2516.87,-0.49360203728739815,2.9435691833496094
200435,2004-08-27,1610.85,1617.25,1600.15,1609.0,66373587,1932.14,1.1591050341827278,2.6425585746765137
200436,2004-09-03,1629.65,1636.1,1622.1,1634.1,81209846,2064.5,1.5360137078514111,3.269282341003418
200437,2004-09-10,1649.45,1670.95,1642.35,1668.75,78599722,2245.2,2.076404494382028,4.221627235412598
200438,2004-09-17,1702.7,1736.4,1702.7,1733.65,159703813,3302.78,3.743546852017425,0.7638648748397827
200439,2004-09-24,1726.15,1736.9,1717.2,1722.5,101667012,2558.88,-0.6473149492017469,4.680843353271484
